Africa,16,
Afternoon In Paris,17,
Algo Bueno (Woody'n You),274,
All Blues,18,
All The Things You Are,19,
All You Were To Us,20,
Alone Together,21,
Along Came Betty,22,
Angel Eyes,23,
Anthropology,24,
Antigua,25,
Autumn Leaves,26,
Avalon,28,
Baby Steps,29,
Bags' Groove,43,
Basin Street Blues,30,
Baubles Bangles & Beads,31,
Beatrice,32,
Below Zero,33,
Bernies Tune,34,
Besame Mucho,35,
Bessie's Blues,36,
Billie's Bounce,37,
Birk's Works,38,
Blue Bossa,39,
Blue Monk,37,
Blue Silver,40,
Blue Trane,36,
Blues For Jan,41,
Blues For LJ,42,
Blues For Willie,41,
Blues In A Closet,43,
Blues Minor,281,
Blues Walk,42,
Body And Soul,44,
Bolivia,45,
Bustin' Chops,37,
But Not For Me,48,
Bye Bye Blackbird,49,
Cantaloupe Island,50,
Caravan,51,
Cedar's Blues,52,
Centerpiece (Keester Parade),53,
Ceora,54,
Cherokee,55,
Christmas Song,282,
Con Alma,56,
Confirmation,57,
Coral,77,
Corner Pocket (Until I Met You),58,
Cote D'azur,76,
Cottontail,59,
Dance Cadaverous,60,
Dance Of The Infidels,61,
Darn That Dream,64,
Days Of Wine And Roses,62,
Dearly Beloved,65,
Don't Get Around Much Anymore,67,
Don't Take Your Love From Me,66,
Doxy,68,
Dwellings,69,
Edda,70,
El Otono,71,
Epistrophy,72,
Everything I Love,73,
Fingers,74,
Flintstones,75,
Flugelin' The Blues,76,
Footprints,77,
Four,78,
Gentle Rain,79,
Georgia On My Mind,80,
Giant Steps,81,
Girl From Ipanema,82,
Give Thanks,83,
Got Eyes For You,84,
Groovin' High,85,
Happy Go Lucky Local (Night Train),86,
Have You Met Miss Jones,88,
Here's That Rainy Day,89,
Hide And Seek,90,
High Fly,92,
Honeysuckle Rose,94,
I Cant Get Started,95,
I Fall In Love Too Easily,96,
I Love You,97,
I Mean You,98,
I Remember You,100,
I've Got Rhythm,107,
I'll Close My Eyes,102,
I'll Remember April,103,
I'm An Old Cowhand,104,
I'm Old Fashioned,105,
In A Mellow Tone,110,
In A Sentimental Mood,111,
In And Out,109,
In Walked Bud,112,
Invitation,113,
It's You Or No One,114,
I've Got A Crush On You,106,
I've Never Been In Love Before,108,
Jammin' At The Jazzworks,115,
Jeannie,116,
Jeeps Blues,38,
Jingle Bells,283,283
Jive At Five,117,
Joy Spring,118,
Just Around The Corner,120,
Just Friends,121,
Just Squeeze Me,221,
Killer Joe,122,
Ladybird,123,
Land Of Make Believe,124,
Laura,125,
Lets Eat,126,
Like No Other,127,
Limehouse Blues,128,
Little Boat,123,
Little Sunflower,129,
Locomotion,130,
Long Ago & Far Away,131,
Love For Sale,132,
Mamacita,133,
Marie Antoinette,134,
Mean To Me,135,
Meditaton,136,
Miles Mode,200,
Minority,137,
Miss Premise,138,
Moments Notice,139,
Mood Indigo,140,
Moonlight In Vermont,139,
Moontrane,142,
Morning,143,
Mr. P.C.,144,
Ms. P & P,145,
Muddy In The Bank,146,
Mumbles,147,
My Baby Just Cares For Me,148,
My Funny Valentine,149,
My Old Flame,150,
My One And Only Love,151,
My Romance,152,
My Shining Hour,153,
Naima,154,
Nardis,155,
Nature Boy,156,
Nearness,157,
Nerfertiti,158,
Nica's Dream,160,
"Night In Tunisia, A",12,
Night Train (Happy Go Lucky Local),86,
Now Is The Time,159,
Ode To A Flugelhorn,162,
Offshore,163,
Oh Lady Be Good,164,
Old Devil Moon,165,
Oleo,166,
On A Misty Night,167,
On A Slow Boat To China,203,
On Green Dolphin Street,168,
On The Trail,170,
Once I Loved,171,
One Foot In The Gutter,172,
One Note Sambaa,173,
Our Delight,174,
Ow,175,
Peace,176,
Pent Up House,177,
Perdido,178,
Pfrancing,129,
Polka Dots And Moonbeams,179,
Recado Bossa Nova,180,
Recorda-Me,181,
Relaxin,182,
Rhyth-A-Ning,183,
Round Midnight,184,185
Sack Of Woe,186,187
