AC-DC Current,34,
Across The Alley From The Alamo,33,
After Hours,31,
After You've Gone,32,
Afternoon In Paris,34,
Ah-Leu-Cha,35,
Ain't Misbehavin',35,36
Air Mail Special,37,
Airegin,36,
All About Ronnie,37,
All Blues,38,
All Of Me,38,
All Of You,38,39
All Or Nothing At All,40,
All The Things You Are,39,
Along Came Betty,42,
Alright Okay You Win,41,
Amapola (Pretty Little Poppy),42,
Amazing Grace,43,
Among My Souvenirs,43,
And All That jazz,45,
Angel Eyes,44,
Another Hairdo,44,
Apple Core,46,
Apple Honey,47,
Aren't You Glad You're You,47,
As Catch Can,48,
Au Privave,49,
Autumn Leaves,49,
Baby,49,
Bags' Groove,50,
Bags' New Groove,50,
"Ballad, A",51,
Ballin' The Jack,52,
Barbados,51,
Basin Street Blues,53,
"Beautiful Friendship, A",52,
Be-Bop,53,54
Bernie's Tune,54,
Bess You Is My Woman,55,
"Best Is Yet To Come, The",55,
"Best Things In Life Are Free, The",56,
Bewitched,57,
Big P,57,
Bill Bailey,58,
Billie's Bounce,60,
Bird Feathers,58,
Birdland,59,
Birds Of A Feather,60,
"Blessing, The",61,
Bloomdido,61,
Blue And Sentimental,62,
Blue Champagne,63,
Blue Haze,64,
Blue In Green,63,
Blue 'N Boogie,61,
Blueberry Hill,64,
Blues For Pablo,69,
Blues In The Closet,65,
Blues In The Night,65,
Bluesette,67,
Body And Soul,66,
Boogie Woogie (The Original),67,
Boplicity (Bebop Lives),69,70
Born To Be Blue,70,
"Breeze And 1, The",71,
Budo,72,
Bud's Blues,71,
But Beautiful,73,
Button Up Your Overcoat,72,
Buzzy,73,
Bye Bye Blackbird,74,
Bye Bye Blues,74,
C.C. Rider,77,
Caldonia,75,
Candy,76,
Can't Help Lovin' Dat Man,75,
"Cape Verdean Blues, The",77,
Carioca,78,
"Carolina Moon 80 Cat Walk, The",78,
"Champ, The",80,
Charmaine,79,
Chasing The Bird,80,
Chega De Saudade (No More Blues),81,
Chelsea Bridge,82,
Cherokee (Indian Love Song),82,
Cheryl,83,
Choo Choo Ch' Boogie,83,
"Christmas Song, The",84,
Close As Pages In A Book,85,
Come Rain Or Come Shine,85,
Come Sunday,86,
Comes Love,87,
Confirmation,87,88
"Cottage For Salt, A",89,
Count Every Star,88,
Crazy Rhythm,90,
Cry Me A River,91,
Cute,90,
D.C. Farewell,92,
Daahoud,92,
Darn That Dream,93,
"Day In The Life Of A Fool, A",93,
Dearly Beloved,95,
Deed I Do,95,
Desafinado (Slightly Out Of Tune),96,
Dewey Square,94,
Dinah,97,
Dizzy Atmosphere,97,
Django,99,
Do Nothin' Till You Hear From Me,98,
Do You Know What It Means To Miss New Orleans?,99,
Donna Lee,102,
Don't Explain,101,
Don't Get Around Much Anymore,101,102
Don't Let The Sun Catch You Cryin',100,
Don't Take Your Love From Me,103,
Doodlin',104,
Down By The Riverside,103,
Doxy,104,
"Duke, The",105,
"Earl, The",105,
Early Autumn,107,
East Of The Sun,106,
Easy To Love,106,
Ecaroh,107,
Elsa,108,
"End Of A Love Affair, The",109,
Everybody Loves My Baby,110,
Everything Happens To Me,111,
Everything's Coming Up Roses,112,
Ev'ry Time We Say Goodbye,109,
Exactly Like You,113,
Falling In Love With Love,113,
"Felicidade, A",30,
Festive Minor,116,
Fever,114,
Fiesta In Blue,115,
Fine And Mellow,117,
"Fine Romance, A",116,
Fly Me To The Moon,118,
Flying Home,119,
"Foggy Day, A",119,120
Fool That I Am,120,
Footprints,121,
For All We Know,121,
For Every Man There's A Woman,122,
For Sentimental Reasons,123,
For You For Me For Evermore,123,
Four Brothers,124,
Four Others,124,
Four,122,
Frankie And Johnny,125,
Fried Bananas,125,
From This Moment On,127,
Frosty The Snow Man,126,
Gee Baby Ain't I Good To You,127,128
Get Out Of Town,129,
Getting To Know You,129,
"Ghost Of A Chance, A",128,
"Girl From Ipanema, The",131,
"Glory Of Love, The",132,
"Glow Worm, The",133,
God Bless' The Child,130,
Goin' Out Of My Head,133,
Gone With The Wind,134,
Good Bait,135,
"Good Life, The",135,
"Good Man Is Hard To Find, A",136,
Goodbye Pork Pie Hat,136,
Greensleeves,137,
Groovin' High,137,
Guess Who I Saw Today,138,
"Gypsy, The",139,
Half Nelson,139,
Hallelujah I Love Him (Her) So,140,
Happy Talk,142,
Harlem Nocturne,143,
Harold's House Of Jazz,141,
Haunted Heart,143,
Have You Met Miss Jones?,142,
Hello Dolly!,144,
Hello Young Lovers,145,
Here's That Rainy Day,146,
HiFly,145,
High Society,146,
Honeysuckle Rose,147,
Hooray For Love,147,
How High The Moon,148,
How Insensitive,149,
I Can't Get Started,149,
I Can't Give You Anything But Love,150,
I Concentrate On You,151,
I Could Have Danced All Night,152,
I Could Write A Book,152,
I Cover The Waterfront,153,
I Cried For You,153,
I Didn't Know What Time It Was,154,
I Don't Know Why (I just Do),155,
I Love Lucy,157,
I Love Paris,158,
I Love You,159,
I Loves You Porgy,158,
I Remember Clifford,159,
I Remember Duke,160,
I Remember When (Si Tu Vois Me Mere),161,
I Won't Dance,165,
If Ever I Would Leave You,175,
If I Were A Bell,176,
If s All Right With Me,189,
I'll Always Be In Love With You,162,
I'll Be Around,164,
I'll Be Seeing You,166,
I'll Get By (As Long As I Have You),166,
I'll Never Smile Again,167,
I'll Remember April,167,168
I'll Take Romance,169,
I'll Walk Alone,169,
Ill Wind,177,
I'm Beginning To See The Light,168,
I'm Confessin' That I Love You,170,
I'm Glad There Is You,171,
I'm Gonna Sit Right Down And Write Myself A Letter,171,
I'm Old Fashioned,172,
I'm Sitting On Top Of The World,173,
Imagination,178,
In A Little Spanish Town,179,
In A Shanty In. Old Shanty Town,181,
In A Silent Way,179,
In The Blue Of Evening,181,
In The Mood,180,
In The Still Of The Night,182,
Indiana,183,
Infant Eyes,183,
Inner Space,183,
Intermission Riff,184,
Is You Is Or Is You Ain't,187,
It Ain't Necessarily So,185,
It Might As Well Be Spring,188,
It Never Entered My Mind,186,
It's A Blue World,189,
It's Magic,191,
It's Not For Me To Say,190,
It's Only A Paper Moon,191,
It's Sand Man,192,
It's The Talk Of The Town,193,
I've Got You Under My Skin,174,
I've Grown Accustomed To Her Face,173,
I've Heard That Song Before,177,
"Jazz-Me Blues, The",194,
Jeannine,196,
Jelly Roll Blues,195,
Jersey Bounce,197,
Jeru,196,
Jim,197,
Jingle-Bell Rock,198,
Jive At Five,200,
Johnny One Note,199,
Johnny's Theme,200,
Johnson Rag,202,
"Joint Is Jumpin', The",201,
Jor Du,202,
Juke Box Saturday Night,203,
Jumpin' With Symphony Sid,203,
June Is Bustin' Out All Over,205,
June Night,204,
Just In Time,205,
Killer Joe,206,
King Porter Stomp,207,
Ko Ko,206,
"Lady Is A Tramp, The",208,
Lands End,209,
"Last Time I Saw Paris, The",209,
Laugh! Clown! Laugh!,210,
Lazy Afternoon,211,
Lees Dance,216,
Lennie's Pennies,211,
Lester Left Town,210,
Let It Snow! Let It Snow! Let It Snow!,212,
Let The Good Times Roll,213,
Let There Be Love,213,
Let There Be You,214,
Let's Call The Whole Thing Off,215,
Let's Fall In Love,217,
Let's Get Away From It All,217,
Life Is just A Bowl Of Cherries,216,
Like Someone In Love,218,
L'il Darlin',208,
Limelight,219,
Line For Lyons,219,
Linger Awhile,220,
Little Boat,221,
Little Girl Blue,222,
Little Girl,221,
Little Niles,222,
Little Willie Leaps,223,
Lonely Woman,223,
Long Ago (And Far Away),224,
Look For The Silver Lining,224,
