Adams Apple,9,
Afreaka,10,
Africaine,25,
After Fact,24,
Ah-Leu-Cha,17,
Ain't It The Truth,11,
Air Conditioning,13,
Aisha,12,
All Members,13,
All Too Soon,14,
Almost Like Being In Love,15,
Amor Sonador,16,
An Oscar For Treadwell,19,
Anti Climax,20,
April Head,18,
Aquarius,20,
Are They Only Dreams,21,
Arriving Soon,19,
At Last,22,
Autumn Liebs,23,
Azule Serape,23,
Baby Breeze,26,
Background Music,27,
Bakai,29,
"Ballad, A",51,
Band Aid,28,
Bark for Barsdale,25,
Batter Up,31,
Beach Wise,54,
Bea's Flat,30,
Beatrice,30,
Bemsha Swing,29,
Berkshire Blues,32,
"Bid For, A",8,
Big Bear,34,
Big Ben,33,
Big Bertha,35,
Big Push,37,
Bird Calls,35,
Birds Mother,38,
Black Bats and Poles,40,
Black Eyes,41,
Black,39,
Blue Concept,45,
Blue Fable,43,
Blue Hawk,46,
Blue Lace,44,
Blue Samba,46,
Blue Skies,47,
Blues Peru,45,
Bob Movers Bossa Nova,48,
Bockhanal,31,
Bones From Jones,36,
Bongo Hop,54,
Bop City,56,
Bottoms Up,42,
Boy What A Night,50,
Breakthrough,50,
Bridgitte,52,
Bright Blues,56,
Brownie Speaks,53,
Bruh Slim,55,
Bud's Idea,55,
Buhaina's Delight,57,
Busy B's,49,
Butch and Butch,58,
Bye-Ya,58,
C.T.A.,79,
Cady and Carole,61,
Cantelope Island,69,
Cariba,95,
Casa de Luz,63,
Cascades,60,
Cat,62,
Cathy,59,
Charcoal Blues,61,
Charles Christopher Parker,70,
Chasing the Bird,59,
Cheshire Cat Walk,64,
Chesney,65,
Chief Crazy Horse,66,
Children Of The Night,77,
Chronic Blues,67,
CIA,79,
Circumstantial,68,
Comin' Down,71,
Comin' On The Hudson,68,
Comrad Conrad,72,
Connies Bounce,74,
Consternation,76,
Contemplation,73,
Cookin' At The Continental,71,
"Cool One, The",75,
Crepuscule With Nellis,69,
Crescent City,78,
Crisis,63,
Cunga Black,80,
Cyclic Episode,20,
Dahomey Dance,81,
Dakar,82,
Dance Cadaverous,83,
Dance Of The Infidels,81,
Dat Dere,84,
Dear Old Stockholm,85,
Deception,86,
Decidedly,87,
Dee's Dilemma,88,
D‚j... vu,89,
Del Sasser,90,
Deltitnu,300,
Desert Moonlight,91,
Dexter,92,
Did You Call Her Today,94,
Dilemma,93,
Dimples,93,
Dizzy's Business,96,
Doin' The Things,97,
Don't Explain,97,
Doodlin,98,
Double Talk,95,
Down,99,
Dr. Jeckyll,96,
Dr. Jeckyll,96,
Duke's Sound Of Love,100,
E.T.A.,120,
Eager Beaver,101,
Early Spring,114,
Early,102,
Ebony Moonbeams,103,
Ecaroh,111,
Eclipse (Henderson),104,
Eclipse (Mingus),104,
Edda,105,
"Eighth Day, The",106,
Ein Bein Strauss,107,
El Toro,110,
Elevation,107,
Ellipsis (Helias),108,
Ellipsis (Rivers),109,
Elsa,109,
Elvin Sir Jones,110,
Empathy,112,
Ericloth,113,
Eronel,114,
Escapade,115,
Estimated Time Of Arrival,116,
Eternal Triange,121,
Evergreenish,117,
Every Now And Then,118,
Every Time I See You,119,
Evidence,119,
Exodus,122,
Face Dancer,125,
Fair Weather,123,
Farkle Flakes,136,
Fat Lady,124,
Fine And Dandy,126,
Five,127,
Five-Four Thing,128,
Flamingo,129,
Florences Fantasy,130,
Flowers For A Lady,131,
Footprints,69,
For Harry Carney,133,
For Miles And Miles,131,
For Regulars Only,135,
Forgetful,132,
