Afro-Centric,12,12
After The Rain,13,13
After You've Gone,14,14
Ain't Misbehavin',15,15
Along Came Betty,16,17
ASA,18,18
Avance,19,20
Baby It's Cold Outside,21,22
Baja Bajo,23,24
Bass Blues,25,25
Beauty And The Beast,26,26
Bessie's Blues,27,27
Black And Blue,28,28
Black Coffee,29,30
Blues For Alice,31,31
Blues For Yna Yna,32,33
Body And Soul,34,35
Bolivia,36,36
"Boy Next Door, The",37,37
Bye Bye Blackbird,38,39
Café,40,41
Capim,42,43
Casa Forte,44,45
Central Park West,46,47
Charmed Circle,48,49
Cherokee,50,50
Child Is Born,51,51
Choices,52,53
Chromazone,54,55
Clockwise,56,56
Cold Duck Time,57,57
Criss Cross,58,59
Day By Day,60,60
Dear Lord,61,62
Dee Song,63,64
Delgado,65,65
Detour Ahead,66,66
Devil May Care,67,68
Django,69,70
Doce Presenca,71,72
Dogs In The Wine Shop,73,74
Don't Forget The Poet,75,76
"Duke, The",77,78
Ecaroh,79,82
# slithly rotated version of Equinox,83,83
Equinox,84,84
Escher Sketch,85,87
Eternal Child,88,89
Exactly Like You,90,90
Expression,91,91
Falling Grace,92,92
Filthy Mcnasty,93,94
Five Hundred Miles High,95,95
Flamingo,96,96
Fly Me To The Moon,97,97
Forever,98,99
Freedom Jazz Dance,100,100
Friday Night At The Cadillac Club,101,102
Friends,103,103
Geraldine,104,105
Gertrude's Bounce,106,107
Get Happy,108,109
Giant Steps,110,110
Got A Match,111,111
Gregory Is Here,112,113
Growing,114,114
Harlem Nocturne,115,116
Hi-Fly,117,120
Honeysuckle Rose,121,121
Horace Scope,122,123
I Believe In You,124,125
I Hadn't Anyone Till You,126,126
I Thought About You,127,128
I'll Be Around (arr. Grusin),129,130
I'll Be Around,131,131
I'll Get By,132,132
Ill Wind,133,133
Illuminados,134,134
I'm Glad There Is You,135,135
Impressions,136,136
In The Wee Small Hours Of The Morning,137,137
In Your Own Sweet Way (as played by Dave Brubeck),138,138
In Your Own Sweet Way (as played by Miles Davis),139,139
Isfahan,140,140
It Don't Mean A Thing (If It Ain't Got That Swing),141,141
It's Only A Paper Moon,142,142
It's the Talk Of The Town,143,144
It's You,145,146
I've Got The World On A String,147,147
I've Got Your Number,148,149
I've Never Been In Love Before,150,150
Jacob's Ladder,151,152
Jordu,153,154
Juntos,155,156
Killer Joe,157,157
Let's Fall In Love,158,158
Like A Lover,159,160
Like Father Like Son,161,162
Like Sonny,163,164
Lisa,165,165
Little Wind,166,167
Loose Ends,168,169
Loxodrome,170,170
Lullaby Of The Leaves,171,171
Mahjong,172,172
Manha De Carneval,173,174
"Masquerade Is Over, The",175,176
Mean To Me,177,177
Memories Of You,178,178
Midland,179,180
Mine Is Yours,181,182
Mo' Joe,183,185
Moment's Notice,186,187
Mood Indigo,188,188
Moonrays,189,192
Moontide,193,196
More Love,197,200
Morning Sprite,201,202
Mozambique,203,204
Mr. P.C.,205,205
My Ship,206,207
Naima,208,208
Napanoch,209,210
"Natives Are Restless Tonight, The",211,212
Natural Selection,213,213
"Necessary Blonde, The",214,215
Never Alone,216,217
Never Will I Marry,218,219
Nica's Dream,220,223
Night Dreamer,224,224
"Nightingale Sang In Berkeley Square, A",225,226
Nightmood (Leinbra),227,228
Nutville,229,232
Ode To Tee Doo Da Day,233,234
Ole,235,235
On The Sunny Side Of The Street,236,236
Once In A While,237,237
Peace,238,238
Peep,239,240
Perdido,241,241
Peri's Scope,242,242
Power Play,243,244
"Promise, The",245,245
Quicksilver,246,247
Quiet Girl,248,249
"Quiet Place, A",250,251
Rain Waltz,252,253
Remember Hymn,254,254
Rockin' Chair,255,255
Rosetta,256,256
Sailing At Night,257,258
Sea Journey,259,260
Senor Blues,261,262
September Song,263,263
Seven Steps To Heaven,264,265
Silver's Serenade,266,266
Sing Me Softly Of The Blues,267,267
Skippy-Ing,268,269
So Many Stars,270,271
Some Other Blues,272,272
Someone To Light Up My Life,273,274
Song For My Father,275,275
Sophisticated Lady,276,277
Spain,278,279
Spring Can Really Hang You Up The Most,280,281
Stablemates,282,282
"Star-Crossed Lovers, The",283,283
Stardust,284,285
Stargazer,286,287
Still,288,288
Story Line,289,290
Strollin',291,293
Summer In Central Park,294,294
Sweet And Lovely,295,295
T.B.C. (Terminal Baggage Claim),296,297
That's All,298,299
Them There Eyes,300,300
There Is No Greater Love,301,301
Three Hearts Dancing,302,303
Three Little Words,304,304
Till There Was You,305,305
Time Marches On,306,306
Time Remembered,307,307
Time Track,308,309
Togetherness,310,310
Tristeza,311,311
Truth,312,313
Tunji,314,314
Tunnel Vision,315,316
Turn Out The Stars,317,317
26-2,318,318
Unforgettable,319,319
Unless It's You (Orbit),320,320
Veils,321,321
Velho Plano,322,323
Wabash III,324,325
Waltse For Dave,326,327
What A Difference A Day Made,328,328
What A Little Moonlight Can Do,329,330
When All Is Said And Done,331,331
Whenever Your Heart Want's To Sing,332,333
While We're Young,334,335
Whisper Not,336,337
Will You Say You Will,338,338
Will You Still Be Mine,339,340
Willow,341,342
Wind Sprint,343,344
Windows,345,345
Wise One,346,347
Woody'n You,348,348
Words,349,351
You Fascinate Me So,352,353
You're Everything,354,357
You're My Everything,358,358
