Afro-Centric,8,8
After The Rain,9,9
After You've Gone,10,10
Ain't Misbehavin',11,11
Along Came Betty,12,13
ASA,14,14
Avance,15,16
Baby It's Cold Outside,17,18
Baja Bajo,19,20
Bass Blues,21,21
Beauty And The Beast,22,22
Bessie's Blues,23,23
Black And Blue,24,24
Black Coffee,25,26
Blues For Alice,27,27
Blues For Yna Yna,28,29
Body And Soul,30,31
Bolivia,32,32
"Boy Next Door, The",33,33
Bye Bye Blackbird,34,35
Café,36,37
Capim,38,39
Casa Forte,40,41
Central Park West,42,43
Charmed Circle,44,45
Cherokee,46,46
Child Is Born,47,47
Choices,48,49
Chromazone,50,51
Clockwise,52,52
Cold Duck Time,53,53
Criss Cross,54,55
Day By Day,56,56
Dear Lord,57,58
Dee Song,59,60
Delgado,61,61
Detour Ahead,62,62
Devil May Care,63,64
Django,65,66
Doce Presenca,67,68
Dogs In The Wine Shop,69,70
Don't Forget The Poet,71,72
Duke, The,73,74
Ecaroh,75,76
Ecaroh (Harmony),77,78
Equinox,79,79
Escher Sketch,80,82
Eternal Child,83,84
Exactly Like You,85,85
Expression,86,86
Falling Grace,87,87
Filthy Mcnasty,88,89
Five Hundred Miles High,90,90
Flamingo,91,91
Fly Me To The Moon,92,92
Forever,93,94
Freedom Jazz Dance,95,95
Friday Night At The Cadillac Club,96,97
Friends,98,98
Geraldine,99,100
Gertrude's Bounce,101,102
Get Happy,103,104
Giant Steps,105,105
Got A Match,106,106
Gregory Is Here,107,107
Gregory Is Here (Harmony),108,108
Growing,109,109
Harlem Nocturne,110,111
Hi-Fly,112,113
Hi-Fly (Harmony),114,115
Honeysuckle Rose,116,116
Horace Scope,117,118
I Believe In You,119,120
I Hadn't Anyone Till You,121,121
I Thought About You,122,123
I'll Be Around (arr. Grusin),124,125
I'll Be Around,126,126
I'll Get By,127,127
Ill Wind,128,128
Illuminados,129,129
I'm Glad There Is You,130,130
Impressions,131,131
In The Wee Small Hours Of The Morning,132,132
In Your Own Sweet Way,133,134
Isfahan,135,135
It Don't Mean A Thing (If It Ain't Got That Swing),136,136
It's Only A Paper Moon,137,137
It's the Talk Of The Town,138,139
It's You,140,141
I've Got The World On A String,142,142
I've Got Your Number,143,144
I've Never Been In Love Before,145,145
Jacob's Ladder,146,147
Jordu,148,149
Juntos,150,151
Killer Joe,152,152
Let's Fall In Love,153,153
Like A Lover,154,155
Like Father Like Son,156,157
Like Sonny,158,159
Lisa,160,160
Little Wind,161,162
Loose Ends,163,164
Loxodrome,165,165
Lullaby Of The Leaves,166,166
Mahjong,167,167
Manha De Carneval,168,169
"Masquerade Is Over, The",170,171
Mean To Me,172,172
Memories Of You,173,173
Midland,174,175
Mine Is Yours,176,177
Mo' Joe,178,178
Mo' Joe (Harmony),179,180
Moment's Notice,181,182
Mood Indigo,183,183
Moonrays,184,187
Moontide,188,189
Moontide (Harmony),190,191
More Love,192,193
More Love (Counter-melody),194,195
Morning Sprite,196,197
Mozambique,198,199
Mr. P.C.,200,200
My Ship,201,202
Naima,203,203
Napanoch,204,205
"Natives Are Restless Tonight, The",206,206
"Natives Are Restless Tonight, The (Harmony)",207,207
Natural Selection,208,208
"Necessary Blonde, The",209,210
Never Alone,211,212
Never Will I Marry,213,214
Nica's Dream,215,216
Nica's Dream (Harmony),217,218
Night Dreamer,219,219
"Nightingale Sang In Berkeley Square, A",220,221
Nightmood (Leinbra),222,223
Nutville,224,225
Nutville (Harmony),226,227
Ode To Tee Doo Da Day,228,229
Ole,230,230
On The Sunny Side Of The Street,231,231
Once In A While,232,232
Peace,233,233
Peep,234,235
Perdido,236,236
Peri's Scope,237,237
Power Play,238,239
Promise, The,240,240
Quicksilver,241,242
Quiet Girl,243,244
