Actual Proof,11,12
"Aerie, The",13,14
Ain't That Peculiar,15,18
photo of Eddie Daniels,19,19
Aja's Theme,20,20
photo of Jim McNeely,21,21
Almost Like Being In Love,22,22
American Gothic,23,24
And It All Goes Round,25,26
Another Star,27,28
Another Time,29,30
Appointment In Ghana,31,33
Arietas,34,36
Autumn Serenade,37,38
B-Sting,39,42
Baby Come To Me,43,44
Backstage Sally,45,46
photo of Jackie McLean,47,47
"Ballad For Doll, A",48,48
Ballad For Two Musicians,49,52
Bird Of Beauty,53,54
photo of Wayne Shorter,55,55
Black Nile,56,56
Blue Moon,57,58
Blue Spirits,59,62
photo of Chet Baker,63,63
Blue Tuesday,64,64
Body And Soul,65,66
"photo of Sam Jones, Joe Zawinul, Nat & Cannonball Adderley, Charles Lloyd",67,67
Brothers Of The Bottom Row,68,68
Bu's Delight,69,72
Bud Powell,73,74
Butterfly,75,76
Can't Stop The Wind,77,82
Caravan,83,84
photo of Lee Morgan,85,85
Ceora,86,86
Chairs And Children,87,88
Chick's Tune,89,90
Circular Motion,91,93
photo of Maria Schneider,94,94
Cirrus,95,98
Close Your Eyes,99,99
Cool Green,100,100
Creepin',101,102
photo of Bobby Hutcherson,103,103
D Minor Mint,104,104
Cynthia,105,105
Daddy's Girl Cynthia,105,106
Dancing In The Street,107,108
Darius Dance,109,110
Day Dream,111,111
Dexter,112,112
photo of Dexter Gordon,113,113
Dienda,114,114
Divertamento,115,116
"photo of Tony Williams, Jaco Pastorius & Herbie Hancock",117,117
Dolphin Dance,118,118
Don't Ask Why,119,119
Don't Be That Way,120,120
Don't Blame Me,121,121
"Double Up, The",122,122
Dreamin,123,124
photo of Sky Evergreen,125,125
El Gaucho,126,126
Emily,127,127
Everything I Have Is Yours,128,128
Fall With Me,129,130
photo of Al Cohn,131,131
For All We Know,132,132
Freedomland,133,134
From Day To Day,135,136
photo of Mulgrew Miller,137,137
"Gentle Rain, The",138,138
Get Ready,139,140
photo of Maria Schneider,141,141
"Ghost Of A Chance, A",142,142
Grand Central,143,144
Gush,145,148
Hard Eights,149,150
Heat Wave,151,152
Herzog,153,154
photo of Allan Holdsworth,155,155
Hold On I'm Coming,156,156
How Sweet It Is,157,158
I Can't Help It,159,160
photo of Miles Davis,161,161
I Fall In Love Too Easily,162,162
I Got It Bad,163,164
photo of John Coltrane,165,165
I Hear A Rhapsody,166,166
I Heard It Through The Grapevine,167,170
I Wanted To Say,171,171
I'm Getting Sentimental Over You,172,172
I'm Losing You,173,174
I'm Through With Love,175,176
If You Could See Me Now,177,178
photo of Duke Ellington,179,179
In A Mellow Tone,180,180
In A Sentimental Mood,181,182
In Case You Missed It,183,185
In Love With Night,186,186
Inner Urge,187,188
Invitation,189,190
Isoar,191,192
photo of Joe Henderson,193,193
Isotope,194,194
It Always Is,195,198
Jean De Fleur,199,200
"Jitterbug Waltz, The",201,201
John's Waltz,202,202
Just Friends,203,203
Just Squeeze Me,204,204
photo of Bobby Hutcherson,205,205
Just You Just Me,206,206
Kahlil The Prophet,207,208
Knock On Wood,209,210
photo of Larry Dunlap & Bobbe Norris,211,211
"Lamp Is Low, The",212,212
Last Nite,213,216
Last Season,217,220
photo of Lee Morgan,221,221
Aura,222,222
Lets Stay Together,223,224
Litha,225,226
Lonely Woman,227,228
Look At The Birdie,229,230
photo of Abdullah Ibrahim (Dollar Brand),231,231
Love Letter,232,232
Love's Haunts,233,236
photo of Rahsaan Roland Kirk,237,237
Lullaby In Rhythm,238,238
Maiden Voyage,239,240
Mamacita,241,244
Man Facing. North,245,248
Metamorphosis,249,251
photo of Horace Silver,252,252
Midnight Silence,253,254
Monk On The Run,255,258
Moon And Sand,259,260
photo of Benny Carter & Duke Ellington,261,261
Moonglow,262,262
photo of Milt Hinton,263,263
Moonlight Serenade,264,264
My Girl,265,266
Never Said (Chan's Song),267,268
New Boots,269,270
Next Future,271,272
No Way Out,273,276
Nowhere To Run,277,278
Off Flow,279,282
On Green Dolphin Street,283,284
One Bird One Stone,285,288
photo of Herbie Hancock,289,289
One Finger Snap,290,290
Ooo Baby Baby,291,292
Opus De Funk,293,294
Out A Day,295,295
photo of Eric Dolphy,296,296
Over The Rainbow,297,298
Part-Time Lover,299,302
Pendulum,303,303
Prelude To A Kiss,304,304
Promise,305,306
Punjab,307,308
Pyramid,309,310
photo of Horace Silver,311,311
Question Mark,312,312
Rainland,313,315
photo of Mary Lou Williams,316,318
Reach Out; I'll Be There,319,320
Real Life,321,322
photo of Jerry Bergonzi,323,323
Red's Blues,324,324
Relentless,325,326
Respect,327,328
Revelation,329,332
Riddles,333,334
Ritual,335,336
Ruby,337,338
Sail Away,339,340
photo of The Yellowjackets,341,341
"Second Time Around, The",342,342
Serenata,343,344
photo of Ella Fitzgerald,345,345
"Shadow Of Your Smile, The",346,346
Short Story,347,348
Since We Met,349,350
photo of Stevie Wonder,351,351
Smile Please,352,352
So Near So Far,353,354
photo of Freddie Hubbard,355,355
Solitude,356,356
Speak Like A Child,357,358
Spring Is Here,359,359
Stairway To The Stars,360,360
Star Eyes,361,362
"photo of Julian ""CannonBall"" Adderley",363,363
Stars Fell On Alabama,364,364
Steepian Faith,365,366
Step Lightly,367,368
Stompin' At The Savoy,369,369
Street Of Dreams,370,370
Sub Aqua,371,374
photo of Sonny Rollins,375,375
Sugar,376,376
Super Blue,377,378
Sweet Lorraine,379,380
Sweet Love,381,382
Taking A Chance On Love,383,383
photo of John Contrane,384,384
That Girl,385,388
photo of Art Blakey,389,389
That Old Feeling (Standard Version),390,390
That Old Feeling,391,392
There's A Lull In My Life,393,394
34 Skidoo,395,395
This Is New,396,396
Tiny Capers,397,398
Tokyo Dream,399,402
Too High,403,406
photo of Wayne Shorter,407,407
Toy Tune,408,408
"Tracks Of My Tears, The",409,410
Tuzz's Shadow,411,412
Used To Be A Cha-Cha,413,414
"photo of Roy Eldridge, Lenny Bruce & Lord Buckley",415,415
Walk Of The Negress,416,416
Warm Valley,417,417
Wee,418,418
What Are You Doing The Rest Of Your Life,419,420
What's Going On?,421,422
What's Love Got To Do With It,423,424
When I Look In Your Eyes,425,426
When Lights Are Low,427,428
Where Are You?,429,429
You Are So Beautiful,430,430
You Must Believe In Spring,431,432
You Stepped Out Of A Dream,433,433
You've Changed,434,434
