Amber Captive,2,
Avenue v2,4,
Avenue,3,
Beneath an Evening Sky,5,
Beppo,6,7,
Caminata,8,
Creeper,9,
Distant Hills,10,11
Empty Carousel,12,13
Flutter Step,14,
Gaya,15,
Green Room,18,
Green and Golden,16,17
Hand In Hand,19,20
If,21,22
Krusning,23,
Mingusiana,24,
Opalesque,25,
Postcard to Salta,24,
Ralph's Piano Waltz,26,31
Redial,32,
Renewal,35,
Skygger,40,
St. Helens,36,
Staircase,41,42
Summer’s End,43,
Tale of Saverio,44,46
The Bag Man,50,
The Reluctant Bride,33,34
The Sigh,37,39
Timeless,47,
Trellis,48,49
Viewpoint,50,
Waterwheel,51,
Windfall,52,
You Speak My Language,11,
