After all,Al Jarreau,30,31,The Slick Book 1
After the love has gone,"Earth, Wind & Fire",32,35,The Slick Book 1
All behind us now,Patti Austin,36,37,The Slick Book 1
All in the name of love,David Roberts,38,39,The Slick Book 1
All right,Christopher Cross,40,41,The Slick Book 1
And the melody still lingers on (A night in Tunisia),Chaka Khan,42,45,The Slick Book 1
Anthem,Chess,46,47,The Slick Book 1
Anyway you can,Patti Austin,48,49,The Slick Book 1
Appaloosa,Gino Vannelli,50,51,The Slick Book 1
Automatic Man,Michael Sembello,52,53,The Slick Book 1
Back on the road,"Earth, Wind & Fire",54,55,The Slick Book 1
The best of me,David Foster,56,57,The Slick Book 1
Black & blues,Al Jarreau,58,60,The Slick Book 1
Boogie down (horns),Al Jarreau,61,61,The Slick Book 1
Boogie down,Al Jarreau,62,63,The Slick Book 1
Black cars,Gino Vannelli,64,65,The Slick Book 1
Born to love you,George Duke,66,67,The Slick Book 1
Broken wings,Mr. Mister,68,69,The Slick Book 1
Cryin' all night,Airplay,70,71,The Slick Book 1
Divina,Koinonia,72,73,The Slick Book 1
Do be do be,Hawk on flight,74,75,The Slick Book 1
Do you love me,Patti Austin,76,77,The Slick Book 1
Don't look any further,Dennis Edwards,78,79,The Slick Book 1
Don't slow down,Mr. Mister,80,81,The Slick Book 1
Don't stop,Jeffrey Osborn,82,83,The Slick Book 1
Don't try to stop me now,Maxus,84,85,The Slick Book 1
Easy,Al Jarreau,86,88,The Slick Book 1
Echoes of love,Doobie Brothers,89,91,The Slick Book 1
The ending (guitar solo by Jay Graydon),Steve Kipner,92,93,The Slick Book 1
Endless,Toto,94,95,The Slick Book 1
Eye to eye,Chaka Khan,96,97,The Slick Book 1
Fadeway,Nielsen-Pearson,98,99,The Slick Book 1
Fearless,Pages,100,101,The Slick Book 1
Freetime,Spyro Gyra,102,103,The Slick Book 1
Frontline,Koinonia,104,105,The Slick Book 1
Funkabilly swing,Michael Sembello,106,107,The Slick Book 1
Funkabilly swing (horns),Michael Sembello,108,109,The Slick Book 1
Funky bumpkins,Koinonia,110,111,The Slick Book 1
Gazoot,Koinonia,112,113,The Slick Book 1
The glory of love,Peter Cetera,114,115,The Slick Book 1
