Abraham Martin and John,25
All I Have to Do is Dream,25
All Shook Up,26
All Through the Night,27
Apache,28
All I Need is a Miracle,29
Are You Lonesome Tonight?,30
At The Hop,30
Alone at Last,31
Another Somebody Done Somebody Wrong Song,31
At My Front Door,32
Along Came Jones,33
As Tears Goes By,33
Band of Gold,34
Back in the USA,35
Battle of New Orleans,35
Bad Blood,36
Baker Street,37
The Banana Boat Song,38
Big Hunk O Love,38
Bang a Gong Get it On,39
Bill Don t Be a Hero,39
Because They're Young,41
Bird Dog,41
Blue Jean,42
Blue Suede Shoes,43
Bristol Stomp,43
Blueberry Hill,44
Bennie and the Jets,45
Butterfly,45
Brandy You're a Fine girl (pop book),46
Bad Girls (pop book),47
CC Rider,48
Boys are Back in Town,49
Bread and Butter,50
Book of Love,51
Build Me Up Buttercup,51
Cant Help Falling in Love,52
Bye Bye Love,53
California Dreaming,53
Cant Buy Me Love,54
Car Wash,55
Cara Mira,56
Chantilly Lace,56
Careless Whisper,57
Cracklin’ Rose,58
Cathy’s Clown,59
Celebrate,59
Chapel of Love,60
Charlie Brown,61
Cool Jerk,61
Cotton Fields,62
Cherry Cherry,63
Cradle of Love,64
Crocodile Rock,65
Dedicated to the One I Love,65
Come Go With Me,67
Dark Moon,67
Don t go Breaking My Heart,68
Dancing Queen,69
Daniel,69
Duke of Earl,70
DayDream,71
Diana,72
Day Tripper,73
Do You Want to Dance,73
Dear One,75
Doctor Doctor,75
Detroit City,77
Devil or Angel,77
Earth Angel,78
Did You Ever Have to Make Up Your Mind,79
Don’t Be Cruel,80
Don’t You Forget About Me,81
Donna Donna the Prima Donna,82
Downtown,83
Electric Avenue,84
El Paso,85
Elvira,85
End of the World,86
Jenny 867 5309,87
Eleanor Rigby,87
Endless Love,89
First Time I Ever Saw Her Face,90
Every Breath You Take,91
Flowers on the Wall,92
Everything She Wants,93
For Your Precious Love,94
Everytime You Go Away,95
Game of Love,96
Flashdance What a Feeling,97
Free Bird,98
From a Jack to a King,99
Great Balls of Fire,99
Garden Party,100
Georgy Girl,101
Goodbye Yellow Brick Road,101
The Green Door,102
Gloria (by Laura Branigan),103
Gloria (by Shadows of the Night),104
Going out of my head,105
Good Loving,105
Green Green Grass of Home,106
Good Luck Charm,107
Grazing in the Grass,107
Harper Valley PTA,108
Grease,109
Groovin’,109
Hard Days Night,110
Guitar Boogie Shuffle,111
Hang on Sloopy,111
Hanky Panky,112
Happy Together,113
Hard Headed Women,113
He's a Rebel,114
Happy Happy Birthday Baby,115
Heartaches by the Number,115
Hey Jude,116
Hello Mary Lou,117
Heartbreak Hotel,117
Hold Me Now,118
Hi-Hell Sneakers,119
Honky Cat (pop book),119
Here Comes Summer,121
His Latest Flame,121
How Can You Mend a Broken Heart,122
Hot Stuff,123
The Horse,124
Hound Dog,124
How Deep is Your Love,125
How Do You Do It?,125
Hushabye,126
A Hundreds Pounds of Clay,127
Hungry Like the Wolf,127
I Almost Lost My Mind,128
I Can See for Miles,129
I Just Want to be Your Everything,129
I A got a Women,130
I Can't Go For That (No Can Do),131
I Fought the Law,131
I Like it Like That,132
I Keep Forgetting,133
I Need Your Love Tonight,134
I Understand Just How You Feel,134
I Saw Her Standing There,135
I Want to Hold Your Hand,135
I'm a Man,136
I Only Want to Be With You,137
I Want You I Need You I Love You,137
I'm Gonna Sit Right Down and Write Myself a Letter,138
I'm Just a Singer in a Rock and Roll Band,139
I'm Sorry,140
I've Got to Get a Message To You,140
I'm Your Man,141
It's My Party,142
I've Told Every Little Star,143
It s in his Kiss (Shoop Shoop),143
Island Girl,144
If I Can't Have You,145
If I had a Hammer,145
If You Wanna Be Happy,146
If You Love Somebody Set Them Free,147
Itsy Bitsy Teenie Weenie Yellow Dot Bikini,148
Islands in the Stream,149
It's Now or Never,149
If I were a carpenter,151
Joy to the World,151
It's All in the Game,152
It's Just a Matter of Time,153
Jenny Take a Ride,153
Jive Talking,154
