A Mess Of Blues,4,4
Evil (ls Goin’ On),19,19
Afro Blue,5,5
Feel So Bad,80,80
After You‘ve Gone,8,8
Fever,82,82
All Or Nothing At All,6,6
Fine And Mellow (My Man Don‘t Love Me),84,84
As Long As I Have You,9,9
Five Long Years,88,88
As Time Goes By,10,10
Folsom Prison Blues,86,86
Autumn Leaves (Les Feuilles Mortes),11,11
Frankie And lohnny,89,89
Baby Doll,12,12
From Four Until Late,90,90
Baby What You Want Me To Do?,16,16
Georgia On My Mind,92,92
Back Door Man,14,14
Go Back To Your No Good Man,91,91
Backwater Blues,17,17
Going Down Slow,94,94
Behind Closed Doors,22,22
Good Morning Blues,95,95
Big Spender,18,18
Good Morning Heartache,96,96
Black Coffee,20,20
Goodbye Baby,98,98
Blue Haze,23,23
Green River Blues,99,99
Blue Monk,25,25
Hear Me Talkin’ To Ya,100,100
Blue Train Blues (Ticket Agent Take Your Window Down),26,26
Here’s That Rainy Day,102,102
Blues (From ‘An American In ParIs'),28,28
Hey Hey Pretty Mama,103,103
Blues Ain’t Nothing,29,29
Hoochie Coochie Man,104,104
Blues And Booze,30,30
How Do You Want It Done?,108,108
Blues Around My Bed,31,31
How insensitive,106,106
Blues My Naughty Sweetie Glves To Me,34,34
I Ain’t Got Nobody (And There's Nobody Cares For Me),110,110
Blues Stay Away From Me,36,36
I Can't Stop Loving You,109,109
Bluesette,31,31
I just Want To Make Love To You,114,114
Body And Soul,40,40
I Remember Clifford,112,112
Born To Lose,41,41
I Wanna Be Around,115,115
Bright Lights, Big City,44,44
I wish I Knew How It Would Feel To Be Free,116,116
Bring lt With You when You Come,42,42
l'll Be Seeing You,111,111
Broken Hearted Blues,45,45
I'm A King Bee,118,118
Brother, Can You Spare A Dime,48,48
l'm So Glad,119,119
Buddy Bolden's Blues,46,46
Ifl Had You,120,120
Built For Comfort,49,49
In A Sentimental Mood,122,122
Can't Help Lovin' Dat Man,50,50
In The Heat Of The Night,12,12
Can't Stop Lovin',51,51
It Could Happen To You,136,136
Canal Street Blues,52,52
It Makes My Love Come Down,124,124
Careless Love,53,53
lt's Only A Paper Moon,1,1
Chelsea Bridge,54,54
lailhouse Blues,128,128
Come Back Baby,55,55
Kindhearted Woman Blues,129,129
Come Sunday,56,56
Lazy River,130,130
Corrine Corrina,58,58
Lazybones,131,131
Cotton Tail,60,60
Lean Baby,134,134
Cottonlields,59,59
Learnin’ The Blues,132,132
Crazy Man Blues,62,62
Lemon Drop,135,135
Crossroads Blues,63,63
Li'l Darlin',136,136
Cry Your Blues Away,64,64
Life Is Like That,138,138
Dark And Dreary,65,65
Limehouse Blues,139,139
De Kalb Blues,66,66
Little David Play On Your Harp,140,140
Deep River,61,61
Little Queen Of Spades,141,141
Don‘t Fish In My Sea,68,68
Little Red Rooster,142,142
Don‘t Go To Strangers,69,69
Long Gone Lonesome Blues,143,143
Don‘t Sell It (Don‘t Give It Away),14,14
Love In Vain,144,144
Down By The Riverside,10,10
Love Is Blue (L’Amour Est Bleu),145,145
Down The Road A Piece,12,12
Lover Man (Oh Where Can You Be),147,147
Duet,15,15
Low Down Blues,150,150
Dust My Broom,16,16
Lush Life,148,148
Dust Pneumonia Blues,11,11
Mad About Him, Sad Without Him, How Can I Be Glad Without Him Blues,152,152
Early Autumn,78,78
Make Me A Pallet On Your Floor,151,151
Someday,230,230
Matchbox Blues,154,154
Someone To Watch Over Me,2,2
Mean And Evil,155,155
Sometimes I Feel Like A Motherless Child,232,232
Mean Old Bed Bug Blues,156,156
Sorrowful Blues,233,233
Mean To Me,151,151
Spoonful,234,234
Mean Woman Blues,158,158
Sporting Life Blues,235,235
Meditation (Meditagao),160,160
Squeeze Me,236,236
Memphis Blues,162,162
St. lames Infirmary,238,238
Midnight Sun,164,164
St. Louis Blues,239,239
Million Years Blues (a.k.a. When My Heart Beats Like A Hammer),159,159
Stella By Starlight,243,243
Stars Fell on Alabama,242,242
Mind Your Own Business,166,166
Sugar Blues,244,244
Misty,161,161
Summertime Blues,346,346
Moonglow,168,168
Sunny,248,248
Moonlight Becomes You,169,169
Swingin’ Shepherd Blues,250,250
More Than You Know,110,110
Take These Chains From My Heart,151,151
My Babe,172,172
Tenor Madness,252,252
My Baby Left Me,113,113
Texas Blues,253,253
My Creole Belle,116,116
That Ole Devil Called Love,254,254
My Handy Man Ain’t Handy No More,414,414
That's Why l'm Lonesome,256,256
Mystery Train,111,111
The Birth Of The Blues,251,251
New York Town,178,178
The Blues Never Die,260,260
Nightmare,179,179
The Breeze (That’s Bringing My Honey Back To Me),258,258
No Matter How She Done,182,182
The First Time I Met The Blues,361,361
No More Blues (Chega De Saudade),180,180
The Lady Sings The Blues,262,262
No More Lovers,183,183
The Lonesome Road,266,266
No Smoking,184,184
The Nearness Of You,264,264
Nobody Knows The Trouble l've Seen,188,188
The Night We Called It A Day,261,261
Nobody Knows You When You‘re Down And Out,186,186
The Old Piano Roll Blues,268,268
Ol' Man River,192,192
The Very Thought Of You,369,369
One For My Baby (And One More For The Road),139,139
The Woman I Love,210,210
One More River,194,194
These Foolish Things,272,272
Pickpocket Blues,196,196
Three Hours Past Midnight,271,271
Please Warm My Wiener,195,195
Time On My Hands,274,274
Police Dog Blues,200,200
Trane’s Blues,215,215
Prelude To A Kiss,198,198
Travelling Riverside Blues,276,276
Quiet Nights Of Quiet Stars (Corcovado),202,202
Trouble In Mind,277,277
Ramblin’ On My Mind,201,201
Tuxedo junction,213,213
Recado Bossa Nova (The Gift),204,204
Unforgettable,279,279
Richlands Woman Blues,206,206
Walk Right In,280,280
Roberta,208,208
Walkin’ Blues,282,282
Rockin’ Chair,209,209
Walkin' Shoes,28,28
Salty Dog,212,212
Walking My Troubles Away,283,283
San Francisco Bay Blues,210,210
Way Down In The Mine,284,284
See See Rider,213,213
Weary Blues,286,286
Serenade In Blue,214,214
Weeping Willow Blues,388,388
Seven Eleven,216,216
When Sunny Gets Blue,290,290
Seventh Son (Original Version),219,219
When The Lights Go Out,389,389
Seventh Son (Version II),220,220
When You Got A Good Friend,292,292
Shake That Thing,221,221
When Your Lover Has Gone,293,293
Shake Your Money Maker,222,222
Wild About That Thing,294,294
She Ain’t Nothing But Trouble,223,223
Willow Weep For Me,296,296
Silver City Bound,226,226
Worried Man Blues,298,298
Singing The Blues,224,224
You Can’t Judge A Book By Its Cover,300,300
Smoke Gets In Your Eyes,227,227
You'll Like My Loving,299,299
So Blue,228,228
Your Cheatin’ Heart,302,302
Solitude,229,229
